CATEGORY	BIBTEXKEY	author	title	year	title_translation	publisher	address	pages	booktitle	booktitle_translation	editor	journal	volume	number	school	note	url
unpublished	creissels2008	Creissels, Denis	Optative in Akhvakh	2008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Questionnaire	http://www.deniscreissels.fr/public/Creissels-opt.Akhv.pdf
incollection	creissels2012	Creissels, Denis	External agreement in the converbal construction of Northern Akhvakh	2012	NA	De Gruyter Mouton	Berlin/New York	127--156	Clause linkage in cross-linguistic perspective	NA	Gast, Volker and Diessel, Holger	NA	NA	NA	NA	NA	NA
incollection	creissels2016	Creissels, Denis	Akhvakh	2016	NA	De Gruyter Mouton	Berlin/Boston	3685–3694	Word Formation	NA	NA	NA	NA	NA	NA	NA	NA
incollection	creissels2018	Creissels, Denis	Perfective tenses and epistemic modality in Northern Akhvakh	2018	NA	Brill	Leiden	166--187	The semantics of verbal categories in Nakh-Daghestanian languages	NA	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
unpublished	daniel2006	Daniel, Michael	Reported speech in Archi: a new approach to the old data	2006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Morphosyntaxe des langues du Caucase, 11-14.12.2006, INALCO Paris. Handout	NA
book	danieletal2019	NA	The Mehweb language	2019	NA	Language Science Press	Berlin	NA	The Mehweb language. Essays on phonology, morphology and syntax	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA
book	desheriev1953	Дешериев, Юнус Д.	Бацбийский язык	1953	Bats	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	desheriev1959	Дешериев, Юнус Д.	Грамматика хиналугского языка	1959	Khinalug grammar	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	desheriev1963	Дешериев, Юнус Д.	Сравнительно-историческая грамматика нахских языков и проблемы происхождения и исторического развития горских кавказских народов	1963	Historical-comparative grammar of Nakh languages and the origin and historical development of Caucasian mountain peoples	Чечено-Ингушское книжное издательство	Грозный	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	desherieva1999	Дешериевa, T. И.	Нахские языки	1999	Nakh languages	Российская академия наук	Москва	166--173	Языки мира. Кавказские языки.	Languages of the World. Caucasian Languages.	Алексеев, М. Е.	NA	NA	NA	NA	NA	NA
book	dmitriev1940	Дмитриев, Николай К.	Грамматика кумыксого языка	1940	Kumyk grammar	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
