id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
745	Tarsenaul	Тарсенаул	42,810232	46,031935	Chechen	Nakh	East Caucasian		Chechen									Tarsenaul	chec1245	#996600	#996633	07.02.2021
1427	Guli	Гули	42,810771	44,798552	Ingush	Nakh	East Caucasian		Ingush	Dzherakh	Джераховский							Guli	ingu1240	#663300	#996633	07.02.2021
1428	Targim	Таргим	42,810924	44,938931	Ingush	Nakh	East Caucasian		Ingush	Galgay	Галгаевский							Targim	ingu1240	#663300	#996633	07.02.2021
746	Kurakhi	Курахи	42,811878	45,300976	Chechen	Nakh	East Caucasian		Chechen									Kurakhi	chec1245	#996600	#996633	07.02.2021
1429	Armkhi	Армхи	42,81195	44,7075	Ingush	Nakh	East Caucasian		Ingush	Dzherakh	Джераховский							Armkhi	ingu1240	#663300	#996633	07.02.2021
747	Sharo-argun	Шаро-аргун	42,812222	45,818056	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	Day	Дайский					Sharo-argun	chec1245	#996600	#996633	07.02.2021
450	'Tsilitl'''	Цилитль	42,8125	46,4156	Avar	Avar	East Caucasian		Avar									'Tsilitl'''	avar1256	#009999	#009999	07.02.2021
451	Argvani	Аргвани	42,8128	46,5792	Avar	Avar	East Caucasian		Avar									Argvani	avar1256	#009999	#009999	07.02.2021
748	Nezheloy	Нежелой	42,813029	45,905298	Chechen	Nakh	East Caucasian		Chechen									Nezheloy	chec1245	#996600	#996633	07.02.2021
749	Bushni	Бушни	42,81474	45,3854	Chechen	Nakh	East Caucasian		Chechen									Bushni	chec1245	#996600	#996633	07.02.2021
750	Mulkoy	Мулкой	42,815278	45,534167	Chechen	Nakh	East Caucasian		Chechen									Mulkoy	chec1245	#996600	#996633	07.02.2021
751	Baginaul	Багинаул	42,816586	45,926653	Chechen	Nakh	East Caucasian		Chechen									Baginaul	chec1245	#996600	#996633	07.02.2021
752	Bakinaul	Бакинаул	42,818714	45,930168	Chechen	Nakh	East Caucasian		Chechen									Bakinaul	chec1245	#996600	#996633	07.02.2021
753	Pariaul	Париаул	42,821457	46,024116	Chechen	Nakh	East Caucasian		Chechen									Pariaul	chec1245	#996600	#996633	07.02.2021
1430	Dzheyrakh	Джейрах	42,821997	44,679701	Ingush	Nakh	East Caucasian		Ingush	Dzherakh	Джераховский							Dzheyrakh	ingu1240	#663300	#996633	07.02.2021
754	Nikaroy	Никарой	42,822218	45,366323	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский							Nikaroy	chec1245	#996600	#996633	07.02.2021
755	Keymekhki	Кеймехки	42,8225	45,224167	Chechen	Nakh	East Caucasian		Chechen									Keymekhki	chec1245	#996600	#996633	07.02.2021
1431	Pyaling	Пялинг	42,822778	44,986389	Ingush	Nakh	East Caucasian		Ingush									Pyaling	ingu1240	#663300	#996633	07.02.2021
756	Bogacheroy	Богачерой	42,824533	45,86431	Chechen	Nakh	East Caucasian		Chechen									Bogacheroy	chec1245	#996600	#996633	07.02.2021
452	Verkhniy Karanay	Верхний Каранай	42,8281	46,9072	Avar	Avar	East Caucasian		Avar									Verkhniy Karanay	avar1256	#009999	#009999	07.02.2021
757	Erdychi	Ердычи	42,830556	45,190278	Chechen	Nakh	East Caucasian		Chechen									Erdychi	chec1245	#996600	#996633	07.02.2021
758	Tumsoy	Тумсой	42,833333	45,63	Chechen	Nakh	East Caucasian		Chechen									Tumsoy	chec1245	#996600	#996633	07.02.2021
759	Gaziaul	Газиаул	42,833774	45,936593	Chechen	Nakh	East Caucasian		Chechen									Gaziaul	chec1245	#996600	#996633	07.02.2021
760	Musolt-aul	Мусолт-аул	42,833849	45,772461	Chechen	Nakh	East Caucasian		Chechen									Musolt-aul	chec1245	#996600	#996633	07.02.2021
761	Dzhubikaul	Джубикаул	42,834107	45,924044	Chechen	Nakh	East Caucasian		Chechen									Dzhubikaul	chec1245	#996600	#996633	07.02.2021
1432	Beyni	Бейни	42,834193	44,717048	Ingush	Nakh	East Caucasian		Ingush									Beyni	ingu1240	#663300	#996633	07.02.2021
1433	Egikkhal	Эгикхал	42,835294	44,923332	Ingush	Nakh	East Caucasian		Ingush									Egikkhal	ingu1240	#663300	#996633	07.02.2021
